#写入kg的数据，自己处理，#开头是注释，用|分割
#在本文件中每个ITEM的格式是 value|label(标识,实体的type)|代称|topic(用逗号分割)
杨超越|people_name|她|people_name
赖美云|people_name|她|people_name
韩雪|people_name|她|people_name
刘亦菲|people_name|她|people_name
杨紫|people_name|她|people_name
蒋申|people_name|她|people_name
许诗茵|people_name|她|people_name
娄艺潇|people_name|她|people_name
刘诗诗|people_name|她|people_name
杨丞琳|people_name|她|people_name
杨幂|people_name|她|people_name
段奥娟|people_name|她|people_name
彭于晏|people_name|他|people_name
胡歌|people_name|他|people_name
林峰|people_name|他|people_name
古天乐|people_name|他|people_name
黄磊|people_name|他|people_name
黄渤|people_name|他|people_name
孙红雷|people_name|他|people_name
王一博|people_name|他|people_name
彭昱畅|people_name|他|people_name
蔡徐坤|people_name|他|people_name
吴亦凡|people_name|他|people_name
李荣浩|people_name|他|people_name
深圳|city|这个地方|city
广州|city|这个地方|city
肇庆|city|这个地方|city
珠海|city|这个地方|city
北京|city|这个地方|city
雷州|city|这个地方|city
上海|city|这个地方|city
杭州|city|这个地方|city
桂林|city|这个地方|city
苏州|city|这个地方|city
汕头|city|这个地方|city
佛山|city|这个地方|city
中山|city|这个地方|city
长乐|city|这个地方|city
长沙|city|这个地方|city
清远|city|这个地方|city
内蒙古|city|这个地方|city
安徽|city|这个地方|city
内蒙古|city|这个地方|city
香港|city|这个地方|city
台湾|city|这个地方|city
天津|city|这个地方|city
重庆|city|这个地方|city
石河子|city|这个地方|city
阿拉尔市|city|这个地方|city
图木舒克|city|这个地方|city
五家渠|city|这个地方|city
哈密|city|这个地方|city
吐鲁番|city|这个地方|city
阿克苏|city|这个地方|city
喀什|city|这个地方|city
和田|city|这个地方|city
伊宁|city|这个地方|city
塔城|city|这个地方|city
阿勒泰|city|这个地方|city
奎屯|city|这个地方|city
博乐|city|这个地方|city
昌吉|city|这个地方|city
阜康|city|这个地方|city
库尔勒|city|这个地方|city
阿图什|city|这个地方|city
乌苏|city|这个地方|city
拉萨|city|这个地方|city
日喀则|city|这个地方|city
银川|city|这个地方|city
石嘴山|city|这个地方|city
吴忠|city|这个地方|city
固原|city|这个地方|city
中卫|city|这个地方|city
呼和浩特|city|这个地方|city
包头|city|这个地方|city
乌海|city|这个地方|city
赤峰|city|这个地方|city
通辽|city|这个地方|city
美国|city|这个地方|city
英国|city|这个地方|city
鄂尔多斯|city|这个地方|city
呼伦贝尔|city|这个地方|city
巴彦淖尔|city|这个地方|city
霍林郭勒|city|这个地方|city
满洲里市牙|city|这个地方|city
克石|city|这个地方|city
扎兰屯|city|这个地方|city
根河|city|这个地方|city
额尔古纳|city|这个地方|city
丰镇市|city|这个地方|city
锡林浩特|city|这个地方|city
二连浩特|city|这个地方|city
乌兰浩特|city|这个地方|city
阿尔山|city|这个地方|city
南宁|city|这个地方|city
柳州|city|这个地方|city
桂林|city|这个地方|city
梧州|city|这个地方|city
北海|city|这个地方|city
崇左|city|这个地方|city
来宾|city|这个地方|city
贺州|city|这个地方|city
玉林|city|这个地方|city
百色|city|这个地方|city
河池|city|这个地方|city
钦州|city|这个地方|city
防城港|city|这个地方|city
贵港|city|这个地方|city
岑溪|city|这个地方|city
凭祥|city|这个地方|city
合山|city|这个地方|city
北流|city|这个地方|city
宜州|city|这个地方|city
东兴|city|这个地方|city
桂平|city|这个地方|city
哈尔滨|city|这个地方|city
大庆|city|这个地方|city
齐齐哈尔|city|这个地方|city
佳木斯|city|这个地方|city
鸡西|city|这个地方|city
鹤岗|city|这个地方|city
双鸭山|city|这个地方|city
牡丹江|city|这个地方|city
伊春|city|这个地方|city
七台河|city|这个地方|city
黑河|city|这个地方|city
绥化|city|这个地方|city
五常|city|这个地方|city
双城|city|这个地方|city
尚志|city|这个地方|city
纳河|city|这个地方|city
虎林|city|这个地方|city
密山|city|这个地方|city
铁力|city|这个地方|city
同江|city|这个地方|city
富锦|city|这个地方|city
绥芬河|city|这个地方|city
海林|city|这个地方|city
宁安|city|这个地方|city
穆林|city|这个地方|city
北安|city|这个地方|city
五大连池|city|这个地方|city
肇东|city|这个地方|city
海伦|city|这个地方|city
安达|city|这个地方|city
长春|city|这个地方|city
吉林|city|这个地方|city
四平|city|这个地方|city
辽源|city|这个地方|city
通化|city|这个地方|city
白山|city|这个地方|city
松原|city|这个地方|city
白城|city|这个地方|city
九台|city|这个地方|city
榆树|city|这个地方|city
德惠|city|这个地方|city
舒兰|city|这个地方|city
桦甸|city|这个地方|city
蛟河|city|这个地方|city
磐石|city|这个地方|city
公主岭|city|这个地方|city
双辽|city|这个地方|city
梅河口|city|这个地方|city
集安|city|这个地方|city
临江|city|这个地方|city
大安|city|这个地方|city
洮南|city|这个地方|city
延吉|city|这个地方|city
图们|city|这个地方|city
敦化|city|这个地方|city
龙井|city|这个地方|city
珲春|city|这个地方|city
和龙|city|这个地方|city
沈阳|city|这个地方|city
大连|city|这个地方|city
鞍山|city|这个地方|city
抚顺|city|这个地方|city
本溪|city|这个地方|city
丹东|city|这个地方|city
锦州|city|这个地方|city
营口|city|这个地方|city
阜新|city|这个地方|city
辽阳|city|这个地方|city
盘锦|city|这个地方|city
铁岭|city|这个地方|city
朝阳|city|这个地方|city
葫芦岛|city|这个地方|city
石家庄|city|这个地方|city
唐山|city|这个地方|city
邯郸|city|这个地方|city
秦皇岛|city|这个地方|city
保定|city|这个地方|city
张家口|city|这个地方|city
承德|city|这个地方|city
廊坊|city|这个地方|city
沧州|city|这个地方|city
衡水|city|这个地方|city
邢台|city|这个地方|city
济南|city|这个地方|city
青岛|city|这个地方|city
淄博|city|这个地方|city
枣庄|city|这个地方|city
东营|city|这个地方|city
烟台|city|这个地方|city
潍坊|city|这个地方|city
济宁|city|这个地方|city
泰安|city|这个地方|city
威海|city|这个地方|city
日照|city|这个地方|city
莱芜|city|这个地方|city
临沂|city|这个地方|city
德州|city|这个地方|city
聊城|city|这个地方|city
菏泽|city|这个地方|city
滨州|city|这个地方|city
广州|city|这个地方|city
深圳|city|这个地方|city
汕头|city|这个地方|city
惠州|city|这个地方|city
珠海|city|这个地方|city
揭阳|city|这个地方|city
佛山|city|这个地方|city
河源|city|这个地方|city
阳江|city|这个地方|city
茂名|city|这个地方|city
湛江|city|这个地方|city
梅州|city|这个地方|city
肇庆|city|这个地方|city
